	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES	OXPHOS	GLYC	FAO	G2M	KEGG_CC	WP_CC	BIOCARTA_CC	PD-L1
NefMES	1.0	0.04600592801577046	-0.28002969311562453	-0.25995422578516336	-0.5698667719442163	0.14208884771411462	0.24661948365031003	0.7426170929745733	0.25796913004358574	0.6820904612141023	0.3948863629266687	-0.045918969037596395	0.012867693145407578	0.023592898358810028	0.03028386078006765	-0.16122537898398667
NefAC	0.04600592801577046	1.0	0.7648810355127127	0.56625095603868	0.4607703532990125	0.4150195191111765	0.10686949839875443	-0.20135539123841026	0.2720135915313705	0.14928652074515086	0.3265258751113422	-0.07441313023444367	0.2996804324869221	0.310461721672043	0.3120814272239661	-0.03853355256781628
NefOPC	-0.28002969311562453	0.7648810355127127	1.0	0.7995949597845752	0.7670719578853532	0.45600794331401856	-0.12896642532630162	-0.5390709327227504	0.25002777611062604	-0.0605970202513831	0.2562049568364236	-0.0015731835800503705	0.4137966573654152	0.42099707770357114	0.4000343997053104	-0.04487013497230887
NefNPC	-0.25995422578516336	0.56625095603868	0.7995949597845752	1.0	0.7687079686261408	0.5269748275480374	-0.13249348389311108	-0.5435624794160225	0.2772255107812941	-0.08748825214126657	0.19534744519030878	0.0922790139850113	0.5185782517915191	0.5248275554594075	0.486989899712607	-0.07361482234367528
VerPN	-0.5698667719442163	0.4607703532990125	0.7670719578853532	0.7687079686261408	1.0	0.281927420491844	-0.1782596414747973	-0.6955804829376709	-0.026502385683228685	-0.33360796528982034	-0.040369905526868685	0.033852013745023175	0.33151693576156493	0.33279359481862303	0.2980752658669776	0.04847464808271901
VerNL	0.14208884771411462	0.4150195191111765	0.45600794331401856	0.5269748275480374	0.281927420491844	1.0	-0.047342783793196605	-0.1441962569763944	0.4168353969880564	0.19114362748677813	0.36954648987963074	0.030068064563391006	0.3397065562461654	0.3494444862274573	0.3300864249751133	-0.10997326891394298
VerCL	0.24661948365031003	0.10686949839875443	-0.12896642532630162	-0.13249348389311108	-0.1782596414747973	-0.047342783793196605	1.0	0.3181339617231059	-0.13256064341379076	0.08390008688351146	-0.003146406463619731	-0.2382762148374167	-0.15778642283689018	-0.15586608619000367	0.01824258026533749	-0.008462411874481079
VerMES	0.7426170929745733	-0.20135539123841026	-0.5390709327227504	-0.5435624794160225	-0.6955804829376709	-0.1441962569763944	0.3181339617231059	1.0	-0.1016761608703498	0.3731499898667547	0.11384980253687	-0.25525102216757883	-0.3542291048588637	-0.3505042174511206	-0.21665677587402987	-0.060973418255248886
OXPHOS	0.25796913004358574	0.2720135915313705	0.25002777611062604	0.2772255107812941	-0.026502385683228685	0.4168353969880564	-0.13256064341379076	-0.1016761608703498	1.0	0.41222154953504186	0.5408906256130095	0.19096007928198183	0.3554391291385427	0.36525122389268283	0.21599790248478135	-0.258785372888347
GLYC	0.6820904612141023	0.14928652074515086	-0.0605970202513831	-0.08748825214126657	-0.33360796528982034	0.19114362748677813	0.08390008688351146	0.3731499898667547	0.41222154953504186	1.0	0.4901363693118087	0.14661738131823202	0.19105210060041591	0.19934663756633442	0.054174090985405786	-0.270890907235882
FAO	0.3948863629266687	0.3265258751113422	0.2562049568364236	0.19534744519030878	-0.040369905526868685	0.36954648987963074	-0.003146406463619731	0.11384980253687	0.5408906256130095	0.4901363693118087	1.0	0.053346355110226173	0.23260262209242236	0.24238325175602804	0.10627336141393372	-0.23995277291382877
G2M	-0.045918969037596395	-0.07441313023444367	-0.0015731835800503705	0.0922790139850113	0.033852013745023175	0.030068064563391006	-0.2382762148374167	-0.25525102216757883	0.19096007928198183	0.14661738131823202	0.053346355110226173	1.0	0.5635394550302868	0.5569516939360968	0.07898891903155945	-0.12252409386068772
KEGG_CC	0.012867693145407578	0.2996804324869221	0.4137966573654152	0.5185782517915191	0.33151693576156493	0.3397065562461654	-0.15778642283689018	-0.3542291048588637	0.3554391291385427	0.19105210060041591	0.23260262209242236	0.5635394550302868	1.0	0.9973457493766642	0.6230451518341347	-0.10685899851909504
WP_CC	0.023592898358810028	0.310461721672043	0.42099707770357114	0.5248275554594075	0.33279359481862303	0.3494444862274573	-0.15586608619000367	-0.3505042174511206	0.36525122389268283	0.19934663756633442	0.24238325175602804	0.5569516939360968	0.9973457493766642	1.0	0.6274915149759829	-0.11015665870038216
BIOCARTA_CC	0.03028386078006765	0.3120814272239661	0.4000343997053104	0.486989899712607	0.2980752658669776	0.3300864249751133	0.01824258026533749	-0.21665677587402987	0.21599790248478135	0.054174090985405786	0.10627336141393372	0.07898891903155945	0.6230451518341347	0.6274915149759829	1.0	-0.02945637842673869
PD-L1	-0.16122537898398667	-0.03853355256781628	-0.04487013497230887	-0.07361482234367528	0.04847464808271901	-0.10997326891394298	-0.008462411874481079	-0.060973418255248886	-0.258785372888347	-0.270890907235882	-0.23995277291382877	-0.12252409386068772	-0.10685899851909504	-0.11015665870038216	-0.02945637842673869	1.0
